"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max_follow_up","max_follow_up_days","min_period_days","max_period_days","VE","LCL","UCL","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
247,"Kirsebom","Test-negative case-control","12-Dec-22","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 65 years","included","hospitalization","severe","delta","175+","~44.5 weeks",311.5,175,311.5,73.4,70.4,76.2,0.266,0.238,0.296,-1.32425897020044,0.0556348930236188
259,"Tsundue","Prospective cohort","24-May-22","India","IND","Asia",2070,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"residents of congregate living facilities","included","shortness of breath/use of supplemental oxygen, hospitalization or death","severe","delta","14+","13 weeks",91,14,91,99,90,99.8,0.01,0.002,0.1,-4.60517018598809,0.997965052405139
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=18 years","included","hospitalization with SARI","severe","delta","14+","~33 weeks",231,14,231,83,66.3,91.5,0.17,0.085,0.337,-1.77195684193187,0.351385631087257
311,"Monge","Case cohort","02-Sep-22","Spain","ESP","Europe",30370,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"50-59 years","included","hospitalization","severe","delta","14+","~21 weeks",147,14,147,96,93,98,0.04,0.02,0.07,-3.2188758248682,0.319582389922287
345,"Clemens","Test-negative case-control","13-Oct-22","Brazil","BRA","South America",9410,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"18-60 years","included","severe disease","severe","delta","14+","~12.5 weeks",87.5,14,87.5,100,44.3,100,0.005,0.00099999999999989,0.557,-5.29831736654804,1.61289929589985
366,"Battacharya","Test-negative case-control","06-Jan-23","India","IND","Asia",2070,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=18 years","included","hospitalization with symptoms of pulmonary disease","severe","delta","7+","~22 weeks",154,7,154,79,53.1,81,0.21,0.19,0.469,-1.56064774826467,0.230504769460662
418,"Paternina-Caicedo","Test-negative case-control","09-Sep-23","Colombia","COL","South America",6630,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=5 years","excluded","hospitalization","severe","delta","14+","~32 weeks",224,14,224,71,27,89,0.29,0.11,0.73,-1.23787435600162,0.482796981721944
420,"Irala","Test-negative case-control","15-Sep-23","Paraguay","PRY","South America",5950,2019,2,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=5 years","included","hospitalization due to SARI","severe","delta","14+","~37 weeks",259,14,259,83.2,67.8,91.9,0.168,0.081,0.322,-1.78379129957888,0.352066936446931
426,"Hernandez-Avila","Test-negative case-control","19-Oct-23","Mexico","MEX","North America",9860,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=65 years","excluded","hospitalization with ARI","severe","delta","<91","~33 weeks",231,NA,91,81.1,78.4,83.5,0.189,0.165,0.216,-1.66600826392249,0.0687073810672408
151,"Collie","Test-negative case-control","29-Dec-21","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","Hospitalization","severe","omicron","14+","~24 weeks",168,14,168,70,62,76,0.3,0.24,0.38,-1.20397280432594,0.11722763504552
165,"Tartof","Test-negative case-control","22-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospital admissions","excluded","hospitalization","severe","omicron","7+","~47 weeks",329,7,329,62,53,69,0.38,0.31,0.47,-0.967584026261706,0.106163366639008
179,"Chemaitelly","Test-negative case-control","02-Jun-22","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","severe, critical or fatal disease","severe","omicron","1-6 months","~58 weeks",406,30,180,70.4,45,85,0.296,0.15,0.55,-1.21739582465808,0.331449740849556
194,"Smid","Retrospective cohort","15-Oct-22","Czech Republic","CZE","Europe",22100,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,"all ages","included","hospitalization","severe","omicron","14-74","~54 weeks",378,14,74,46,28,60,0.54,0.4,0.72,-0.616186139423817,0.149945577781153
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 70 years","excluded","hospitalization","severe","omicron","14-90","~56 weeks",392,14,90,91,83,95,0.09,0.05,0.17,-2.40794560865187,0.312187610107682
207,"Altarawneh","Test-negative case-control","15-Jun-22","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","excluded","hospitalization or death","severe","omicron","14+","44 weeks",308,14,308,73.5,60.5,82.2,0.265,0.178,0.395,-1.32802545299591,0.203342401685979
210,"Stowe","Test-negative case-control","30-Sep-22","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"18-64 years","included","hospitalization with ARI","severe","omicron","14-174","~43 weeks",301,14,174,73.8,62.5,81.7,0.262,0.183,0.375,-1.33941077522104,0.183020375798212
210,"Stowe","Test-negative case-control","30-Sep-22","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 65 years","included","hospitalization with ARI","severe","omicron","14-174","~43 weeks",301,14,174,87.6,79.4,92.5,0.124,0.075,0.206,-2.0874737133771,0.257752054911549
215,"Hansen","Retrospective cohort","30-Mar-22","Denmark","DNK","Europe",63020,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 12 years","excluded","hospitalization","severe","omicron","14-30","~2 weeks",14,14,30,50.5,33.9,63,0.495,0.37,0.661,-0.703197516413447,0.148023171993218
230,"Plumb","Test-negative case-control","12-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospitalized adults","included","hospitalization","severe","omicron","14+","~55 weeks",385,14,385,37.3,25.8,46.9,0.627,0.531,0.742,-0.466808738349216,0.0853538831442453
240,"Cerqueira-Silva","Test-negative case-control","11-Jan-23","Brazil","BRA","South America",9410,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","severe disease","severe","omicron","14-59","~7 weeks",49,14,59,82.9,80.6,85,0.171,0.15,0.194,-1.76609172247948,0.0656180777977226
244,"Sharma","Matched case-control","27-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"veterans","excluded","hospitalization","severe","omicron","14+","~42 weeks",294,14,294,52.9,47.8,57.6,0.471,0.424,0.522,-0.752897184965719,0.0530444215945615
272,"Adams","Prospective test-negative case control","11-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","14+","~72 weeks",504,14,504,36,21,48,0.64,0.52,0.79,-0.446287102628419,0.106684728032039
278,"Tartof","Test-negative case-control","07-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","<6 months","~70 weeks",490,NA,180,54,38,65,0.46,0.35,0.62,-0.776528789498996,0.145863858049918
278,"Tartof","Test-negative case-control","07-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","<6 months","~70 weeks",490,NA,180,56,-2,81,0.44,0.19,1.02040816326531,-0.82098055206983,0.428809671974278
299,"Risk","Retrospective cohort","16-Aug-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","14+","~56 weeks",392,14,392,67,51,78,0.33,0.22,0.49,-1.10866262452161,0.204280062436814
301,"Yan","Case-control","18-Aug-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"18-50 years","excluded","severe disease","severe","omicron","14+","~52 weeks",364,14,364,73.7,54.2,84.9,0.263,0.151,0.458,-1.33560124680437,0.283058506964097
301,"Yan","Case-control","18-Aug-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"51-64 years","excluded","severe disease","severe","omicron","14+","~52 weeks",364,14,364,84.5,72.2,91.4,0.155,0.086,0.278,-1.86433016206289,0.299304545264574
301,"Yan","Case-control","18-Aug-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 65 years","excluded","severe disease","severe","omicron","14+","~52 weeks",364,14,364,81.9,74.4,87.2,0.181,0.128,0.256,-1.70925824771631,0.176823260346925
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization with SARI","severe","omicron","14+","~53 weeks",371,14,371,49.5,9.9,71.7,0.505,0.283,0.901,-0.683196849706777,0.295423051011505
316,"Collie","Test-negative case-control","14-Sep-22","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization","severe","omicron","14-27","~36 weeks",252,14,27,80.3,62.8,89.5,0.197,0.105,0.372,-1.62455155024415,0.322687118396843
324,"Link-Gelles","Test-negative case-control","05-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization","severe","omicron","150+","~82 weeks",574,150,574,17,7,27,0.83,0.73,0.93,-0.186329578191493,0.0617704214298124
326,"Lin","Retrospective cohort","26-Sep-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=5 years","included","hospitalization","severe","omicron","~47 weeks","~47 weeks",329,NA,329,58.8,49.3,66.5,0.412,0.335,0.507,-0.886731929632611,0.105709304021969
332,"Wan","Case-control","17-Oct-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"60-79 years","excluded","hospitalization","severe","omicron","14-180","~24 weeks",168,14,168,74.6,72.1,76.8,0.254,0.232,0.279,-1.3704210119636,0.0470597985089428
332,"Wan","Case-control","17-Oct-22","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=80 years","excluded","hospitalization","severe","omicron","14-180","~24 weeks",168,14,168,81,78.2,83.5,0.19,0.165,0.218,-1.66073120682165,0.0710585685940072
341,"Tartof","Test-negative case-control","25-Oct-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization for ARI","severe","omicron",">=6 months","~84 weeks",588,180,588,-4,-118,50,1.04166666666667,0.5,NA,0.0408219945202552,0.37447406891847
392,"Yan","Case-control","03-May-23","Hong Kong","HKG","Asia",50480,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","excluded","hospitalization","severe","omicron","14-30","~32 weeks",224,14,30,73,69.2,76.3,0.27,0.237,0.308,-1.30933331998376,0.0668468474077661
418,"Paternina-Caicedo","Test-negative case-control","09-Sep-23","Colombia","COL","South America",6630,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">=5 years","excluded","hospitalization","severe","omicron","14+","~47 weeks",329,14,329,45,1,70,0.55,0.3,0.99,-0.59783700075562,0.304572058283784
240,"Cerqueira-Silva","Test-negative case-control","11-Jan-23","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","severe disease","severe","omicron","14-59","~7 weeks",49,14,59,90.4,30.4,98.7,0.096,0.013,0.696,-2.3434070875143,1.0154082405288
159,"Tseng","Test-negative case-control","21-Feb-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","included","Hospitalization","severe","omicron","14+","~47.5 weeks",332.5,14,332.5,84.5,23,96.9,0.155,0.0309999999999999,0.77,-1.86433016206289,0.819490640398619
179,"Chemaitelly","Test-negative case-control","02-Jun-22","Qatar","QAT","Asia",65700,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","included","severe, critical or fatal disease","severe","omicron","1-6 months","~58 weeks",406,30,180,87.1,40.2,97.2,0.129,0.028,0.598,-2.04794287462046,0.780965878514139
194,"Smid","Retrospective cohort","15-Oct-22","Czech Republic","CZE","Europe",22100,2019,3,"Moderna mRNA-1273","mRNA",2,"all ages","included","hospitalization","severe","omicron","14-74","~54 weeks",378,14,74,51,-20,80,0.49,0.2,1.25,-0.713349887877465,0.467495271364365
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA",2,">= 70 years","excluded","hospitalization","severe","omicron","14-90","~56 weeks",392,14,90,79,43,92,0.21,0.08,0.57,-1.56064774826467,0.500920848508856
207,"Altarawneh","Test-negative case-control","15-Jun-22","Qatar","QAT","Asia",65700,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","excluded","hospitalization or death","severe","omicron","14+","44 weeks",308,14,308,66.3,38.3,81.6,0.337,0.184,0.617,-1.08767234862978,0.308656445483776
230,"Plumb","Test-negative case-control","12-Apr-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,"hospitalized adults","included","hospitalization","severe","omicron","14+","~55 weeks",385,14,385,35.9,21.7,47.4,0.641,0.526,0.783,-0.444725822061467,0.10148762327885
244,"Sharma","Matched case-control","27-Apr-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,"veterans","excluded","hospitalization","severe","omicron","14+","~42 weeks",294,14,294,66.7,61.4,71.6,0.333,0.284,0.386,-1.09961278900169,0.0782814110468431
272,"Adams","Prospective test-negative case control","11-Oct-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","14+","~72 weeks",504,14,504,41,25,54,0.59,0.46,0.75,-0.527632742082372,0.124705795165106
299,"Risk","Retrospective cohort","16-Aug-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">= 18 years","included","hospitalization","severe","omicron","14+","~56 weeks",392,14,392,79,63,88,0.21,0.12,0.37,-1.56064774826467,0.287247771136792
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"Moderna mRNA-1273","mRNA",2,">=18 years","included","hospitalization with SARI","severe","omicron","14+","~52 weeks",364,14,364,42.1,-105.4,83.7,0.579,0.163,NA,-0.546452801409142,0.646710345288895
324,"Link-Gelles","Test-negative case-control","05-Oct-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">=18 years","included","hospitalization","severe","omicron","150+","~82 weeks",574,150,574,28,17,38,0.72,0.62,0.83,-0.328504066972036,0.0744148527427312
326,"Lin","Retrospective cohort","26-Sep-22","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA",2,">=5 years","included","hospitalization","severe","omicron","~46 weeks","~46 weeks",322,NA,322,64.7,57.2,70.9,0.353,0.291,0.428,-1.04128722204884,0.0984183490842613
418,"Paternina-Caicedo","Test-negative case-control","09-Sep-23","Colombia","COL","South America",6630,2019,3,"Moderna mRNA-1273","mRNA",2,">=5 years","excluded","hospitalization","severe","omicron","14+","~25 weeks",175,14,175,95,54,99,0.05,0.01,0.46,-2.99573227355399,0.976694233798238
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 70 years","excluded","hospitalization","severe","omicron","91-180",NA,NA,91,180,37,-154,85,0.63,0.15,NA,-0.462035459596559,0.732185982290471
210,"Stowe","Test-negative case-control","30-Sep-22","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,"18-64 years","included","hospitalization with ARI","severe","omicron","14-174","~43 weeks",301,14,174,59,31.9,75.3,0.41,0.247,0.681,-0.891598119283784,0.258717849367739
210,"Stowe","Test-negative case-control","30-Sep-22","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 65 years","included","hospitalization with ARI","severe","omicron","14-174","~43 weeks",301,14,174,71.2,50,83.4,0.288,0.166,0.5,-1.24479479884619,0.281280691343278
240,"Cerqueira-Silva","Test-negative case-control","11-Jan-23","Brazil","BRA","South America",9410,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 18 years","included","severe disease","severe","omicron","14-59","~7 weeks",49,14,59,77.1,72.9,80.6,0.229,0.194,0.271,-1.4740332754279,0.0852705769939725
247,"Kirsebom","Test-negative case-control","12-Dec-22","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 65 years","included","hospitalization","severe","omicron","175+","~44.5 weeks",311.5,175,311.5,61,49.8,69.7,0.39,0.303,0.502,-0.941608539858445,0.128792682189378
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=18 years","included","hospitalization with SARI","severe","omicron","14+","~48 weeks",336,14,336,10.1,-31,38.3,0.899,0.617,1.44927536231884,-0.106472244510517,0.217844371547852
396,"Park","Retrospective cohort","15-May-23","South Korea","KOR","Asia",33830,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=60 years","included","critical infection","severe","omicron","14+","~80 weeks",560,14,560,72,70,74,0.28,0.26,0.3,-1.27296567581289,0.0365053172552738
418,"Paternina-Caicedo","Test-negative case-control","09-Sep-23","Colombia","COL","South America",6630,2019,3,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=5 years","excluded","hospitalization","severe","omicron","14+","~43 weeks",301,14,301,10,-78,55,0.9,0.45,4.54545454545455,-0.105360515657826,0.58995801756315
420,"Irala","Test-negative case-control","15-Sep-23","Paraguay","PRY","South America",5950,2019,2,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">=5 years","included","hospitalization due to SARI","severe","omicron","14+","~52 weeks",364,14,364,10,-31.3,38.2,0.9,0.618,1.45560407569141,-0.105360515657826,0.218542808235774
240,"Cerqueira-Silva","Test-negative case-control","11-Jan-23","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored",2,">= 18 years","included","severe disease","severe","omicron","60-149","~19 weeks",133,60,149,78.8,31.8,93.4,0.212,0.0659999999999999,0.682,-1.55116900431012,0.595758907096183
