"","...1","...2","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_1Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_1Dec2020_clean","V1_group","V40_group","V1_dummie","V40_dummie","V70_dummie","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","max_follow_up_days","n_estimates","min_period_days","max_period_days","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"1",1,1,43,"Stowe","Test-negative case-control","14June2021","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","UK","hospital patients","general pop",96,86,99,"delta","delta","~20 weeks",NA,NA,"UK","GBR",43,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","14/06/2021","severe","2021 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,140,1,14,140,"yes",NA,0,96,86,99,0.04,0.01,0.14,-3.2188758248682,0.673228910616137
"2",2,2,49,"Nasreen","Test-negative case-control","07Feb2022","BNT162b2 (Pfizer BioNTech)","unknown",2,"final","14+","hospitalization or death","severe","Canada","general pop","general pop",98,96,99,"delta","delta","~28 weeks",NA,NA,"Canada","CAN",49,"CAN",49140,2019,"Canada","North America","High income",4,"North America","16/12/2020","09/07/2021","28/09/2021","14/12/2020","14/12/2020",2,13,207,288,13,"<30","180-269","yes","yes","yes","07/02/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,196,1,14,196,"yes",NA,0,98,96,99,0.02,0.01,0.04,-3.91202300542815,0.35364652069385
"3",3,3,74,"Tang","Test-negative case-control","02Nov2021","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","severe, critical, fatal disease","severe","Qatar","general pop","general pop",94.1,85.9,97.6,"delta","delta","~25 weeks",NA,NA,"Qatar","QAT",74,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","02/11/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,175,1,14,175,"yes",NA,0,94.1,85.9,97.6,0.0590000000000001,0.024,0.141,-2.83021783507642,0.451710729599546
"4",4,4,80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included",2,"final","7+","hospitalization","severe","USA",">= 12 years","general pop",93,84,96,"delta","delta","~29 weeks",NA,NA,"USA","USA",80,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","16/10/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,203,1,7,203,"yes",NA,0,93,84,96,0.07,0.04,0.16,-2.65926003693278,0.353646520693849
"5",7,7,81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","109-159","severe disease","severe","Israel","40-59 years","40-59 years",92,87,95,NA,"delta","22 weeks",NA,NA,"Israel","ISR",81,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia","20/12/2020","07/03/2021",NA,"16/12/2020","16/12/2020",4,15,81,NA,15,"<30","<180","yes","yes","no","27/10/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,154,4,109,159,"yes",NA,0,92,87,95,0.08,0.05,0.13,-2.52572864430826,0.243752919649856
"6",8,8,81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","109-159","severe disease","severe","Israel",">= 60 years",">= 60 years",85,81,88,NA,"delta","22 weeks",NA,NA,"Israel","ISR",81,"ISR",40250,2019,"Israel","Middle East & North Africa","High income",4,"Asia","20/12/2020","07/03/2021",NA,"16/12/2020","16/12/2020",4,15,81,NA,15,"<30","<180","yes","yes","no","27/10/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,154,4,109,159,"yes",NA,1,85,81,88,0.15,0.12,0.19,-1.89711998488588,0.11722763504552
"7",9,9,92,"Grannis","Test-negative case-control","10Sept2021","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",80,73,85,NA,"delta","4 weeks",NA,NA,"USA","USA",92,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","10/09/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,28,1,14,28,"yes",NA,0,80,73,85,0.2,0.15,0.27,-1.6094379124341,0.149945577781153
"8",10,10,95,"Andrews","Test-negative case-control","12Jan2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","UK",">= 16 years","general pop",96.6,96.2,96.9,"delta","delta","~33.5 weeks",NA,NA,"UK","GBR",95,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","12/01/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,234.5,3,14,234.5,"yes",NA,0,96.6,96.2,96.9,0.034,0.0309999999999999,0.0379999999999999,-3.38139475436597,0.0519385089901123
"9",13,13,114,"Skowronski","Test-negative case-control","19Apr2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","Canada",">= 18 years","general pop",98,97,98,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",49140,2019,"Canada","North America","High income",4,"North America","16/12/2020","09/07/2021","28/09/2021","14/12/2020","14/12/2020",2,13,207,288,13,"<30","180-269","yes","yes","yes","19/04/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,3,14,266,"yes",NA,0,98,97,98,0.02,0.02,0.03,-3.91202300542815,0.103434976558205
"10",16,16,151,"Collie","Test-negative case-control","29Dec2021","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","Hospitalization","severe","South Africa",">= 18 years","general pop",93,90,94,NA,"delta","~19 weeks",NA,NA,"South Africa","ZAF",151,"ZAF",14080,2019,"South Africa","Sub-Saharan Africa","Upper middle income",2,"Africa","19/02/2021",NA,NA,"17/02/2021","17/02/2021",2,78,NA,NA,78,"60-89","not reached","yes","no","no","29/12/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,133,1,14,133,"yes",NA,0,93,90,94,0.07,0.0600000000000001,0.1,-2.65926003693278,0.130312659123977
"11",17,17,165,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","7+","hospitalization","severe","USA","hospital admissions","general pop",76,69,82,"delta","delta","~47 weeks",NA,NA,"USA","USA",165,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","22/04/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,3,7,329,"yes",NA,0,76,69,82,0.24,0.18,0.31,-1.42711635564015,0.138677409844128
"12",20,20,174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","intubation","severe","Greece","15-59 years","15-59 years",98.1,97.5,98.6,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6,14,336,"yes",NA,0,98.1,97.5,98.6,0.019,0.014,0.025,-3.9633162998157,0.147912881442077
"13",22,22,174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","intubation","severe","Greece","60-79 years","60-79 years",96.7,95.9,97.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6,14,336,"yes",NA,1,96.7,95.9,97.4,0.0329999999999999,0.0259999999999999,0.0409999999999999,-3.41124771751566,0.116192736908884
"14",24,24,174,"Lytras","Retrospective cohort","14Jun2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","intubation","severe","Greece",">= 80 years",">= 80 years",94.2,92,95.7,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,6,14,336,"yes",NA,1,94.2,92,95.7,0.0579999999999999,0.0429999999999999,0.08,-2.84731226843572,0.158374111984776
"15",26,26,178,"Lauring","Test-negative case-control","09Mar2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",82,80,84,"delta","delta","~27 weeks",NA,NA,"USA","USA",178,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","09/03/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,189,1,14,189,"yes",NA,0,82,80,84,0.18,0.16,0.2,-1.71479842809193,0.0569243753352575
"16",27,27,194,"Smid","Retrospective cohort","15Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-74","hospitalization","severe","Czech Republic","all ages","general pop",80,72,85,NA,"delta","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe","27/12/2020","16/07/2021",NA,"23/12/2020","23/12/2020",4,22,205,NA,22,"<30","180-269","yes","yes","no","15/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,378,2,14,74,"yes",NA,0,80,72,85,0.2,0.15,0.28,-1.6094379124341,0.159223038028825
"17",29,29,203,"Baum","Retrospective cohort","05Nov2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14-90","hospitalization","severe","Finland",">= 70 years",">= 70 years",90,78,96,NA,"delta","~48.5 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe","17/01/2021","15/08/2021","31/10/2021","23/12/2020","23/12/2020",25,22,235,312,22,"<30","180-269","yes","yes","yes","05/11/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,339.5,2,14,90,"yes",NA,1,90,78,96,0.1,0.04,0.22,-2.30258509299405,0.434884717407761
"18",31,31,218,"Starrfelt","Retrospective cohort","30Mar2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","2-9 weeks","hospitalization","severe","Norway",">= 18 years","general pop",97.5,95.6,98.6,NA,"delta","~7 weeks",NA,NA,"Norway","NOR",218,"NOR",71400,2019,"Norway","Europe & Central Asia","High income",4,"Europe","28/12/2020","12/08/2021","18/11/2021","23/12/2020","23/12/2020",5,22,232,330,22,"<30","180-269","yes","yes","yes","30/03/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,49,2,14,63,"yes",NA,0,97.5,95.6,98.6,0.025,0.014,0.044,-3.68887945411394,0.292125587832399
"19",33,33,230,"Plumb","Test-negative case-control","12Apr2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","USA","hospitalized adults","general pop",50,39,59,NA,"delta","~55 weeks",NA,NA,"USA","USA",230,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","12/04/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,385,1,14,385,"yes",NA,0,50,39,59,0.5,0.41,0.61,-0.693147180559945,0.101352499354338
"20",34,34,235,"Voko","Retrospective cohort","22Jul2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-120","hospitalization","severe","Hungary","18-64 years","18-64 years",82.6,80.1,84.7,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",33630,2019,"Hungary","Europe & Central Asia","High income",4,"Europe","28/12/2020","05/06/2021",NA,"23/12/2020","23/12/2020",5,22,164,NA,22,"<30","<180","yes","yes","no","22/07/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,329,2,14,120,"yes",NA,0,82.6,80.1,84.7,0.174,0.153,0.199,-1.74869997976761,0.0670578835030758
"21",36,36,310,"Penayo","Test-negative case-control","01Jun2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",91.9,72.2,97.6,NA,"delta","~38 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","01/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,266,1,14,266,"yes",NA,0,91.9,72.2,97.6,0.081,0.024,0.278,-2.5133061243097,0.624889613097625
"22",37,37,311,"Monge","Case cohort","02Sept2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","Spain","50-59 years","50-59 years",97,97,98,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",43160,2019,"Spain","Europe & Central Asia","High income",4,"Europe","04/01/2021","04/07/2021","31/08/2021","30/12/2020","30/12/2020",5,29,186,244,29,"<30","180-269","yes","yes","yes","02/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,147,1,14,147,"yes",NA,0,97,97,98,0.03,0.02,0.03,-3.50655789731998,0.103434976558205
"23",38,38,315,"Chatzilena","Test-negative case-control","07Dec2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","7+","hospitalization","severe","UK",">=18 years","general pop",82.5,76.2,87.2,NA,"delta","~56 weeks",NA,NA,"UK","GBR",315,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","07/12/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,392,3,7,392,"yes",NA,0,82.5,76.2,87.2,0.175,0.128,0.238,-1.74296930505862,0.158224594324453
"24",41,41,326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","~25 weeks","hospitalization","severe","USA",">=5 years","general pop",85.8,83.4,87.8,NA,"delta","~25 weeks",NA,"Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","26/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,175,2,NA,175,"yes",NA,0,85.8,83.4,87.8,0.142,0.122,0.166,-1.95192822138088,0.0785629448018587
"25",43,43,336,"Embi","Test-negative case-control","22May2023","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-149","hospitalization with COVID-like illness","severe","USA","immunocompetent adults >=18 years","immunocompetent adults",90,88,91,NA,"delta","~46 weeks",NA,NA,"USA","USA",336,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","22/05/2023","severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,322,2,14,149,"yes",NA,0,90,88,91,0.1,0.09,0.12,-2.30258509299405,0.0733882837887197
"26",45,45,387,"Altarawneh","Test-negative case-control","27Jul2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","severe, critical or fatal disease","severe","Qatar","all ages","general pop",91.1,86.3,94.2,NA,"delta","~48 weeks",NA,NA,"Qatar","QAT",387,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","27/07/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,336,1,14,336,"yes",NA,0,91.1,86.3,94.2,0.0890000000000001,0.0579999999999999,0.137,-2.41911890925,0.219269876347374
"27",46,46,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",91,79,96,NA,"delta","~36 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,252,1,14,252,"yes",NA,0,91,79,96,0.09,0.04,0.21,-2.40794560865187,0.423017366480493
"28",47,47,422,"Mimura","Retrospective cohort","23Sep2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","7+","hospitalization","severe","Japan",">=65 years",">=65 years",93.5,83.7,100,NA,"delta","~22 weeks",NA,NA,"Japan","JPN",422,"JPN",43970,2019,"Japan","East Asia & Pacific","High income",4,"Asia","22/02/2021","11/08/2021","16/10/2021","17/02/2021","17/02/2021",5,78,175,241,78,"60-89","<180","yes","yes","yes","23/09/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,154,1,7,154,"yes",NA,1,93.5,83.7,99.9,0.0649999999999999,0.00099999999999989,0.163,-2.7333680090865,1.29942607163441
"29",48,48,426,"Hernandez-Avila","Test-negative case-control","19Oct2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","<91","hospitalization with ARI","severe","Mexico",">=65 years",">=65 years",87.5,84.9,89.7,NA,"delta","~33 weeks",NA,NA,"Mexico","MEX",426,"MEX",19630,2019,"Mexico","Latin America & Caribbean","Upper middle income",3,"North America","27/12/2020","18/10/2021",NA,"24/12/2020","24/12/2020",3,23,298,NA,23,"<30","270-359","yes","yes","no","19/10/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","yes",NA,231,4,NA,91,"yes",NA,1,87.5,84.9,89.7,0.125,0.103,0.151,-2.07944154167984,0.0975895021901245
"30",52,52,92,"Grannis","Test-negative case-control","10Sept2021","Ad26.COV2.S (Janssen)","included",1,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",60,31,77,NA,"delta","4 weeks",NA,NA,"USA","USA",92,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","10/09/2021","severe","2021 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,28,1,14,28,"yes",NA,0,60,31,77,0.4,0.23,0.69,-0.916290731874155,0.28025823690513
"31",53,53,93,"Polinski","Retrospective cohort","17Mar2022","Ad26.COV2.S (Janssen)","excluded",1,"final","14+","hospitalization (June-July)","severe","USA",">= 18 years","general pop",81,75,86,NA,"delta","~14 weeks",NA,NA,"USA","USA",93,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","17/03/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,98,1,14,98,"yes",NA,0,81,75,86,0.19,0.14,0.25,-1.66073120682165,0.147912881442077
"32",54,54,174,"Lytras","Retrospective cohort","14Jun2022","Ad26.COV2.S (Janssen)","included",1,"final","14+","intubation","severe","Greece","15-59 years","15-59 years",85,73.9,91.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,0,85,73.9,91.4,0.15,0.086,0.261,-1.89711998488588,0.28320742629316
